time,ambient_temperature,electrical_demand[1].unscaled_power,heat_demand[1].unscaled_power,photovoltaic[1].normalized_power
0.0,13.519107196146816,1200.9984563355565,14235.59416317219,0.0
900.0,13.519107196146816,2172.2968023512367,13731.322091751525,0.0
1800.0,13.519107196146816,2891.7710120984593,6024.4168677812095,0.0
2700.0,13.519107196146816,3514.5969958029414,4111.471335291502,0.0
3600.0,13.25108066396049,3005.969380539162,59.158557061311335,0.0
4500.0,13.25108066396049,2781.0826721373473,59.598343335954524,0.0
5400.0,13.25108066396049,3273.3029449732626,59.61275834204593,0.0
6300.0,13.25108066396049,2737.819530412135,6431.332794036697,0.0
7200.0,13.048304036613533,4339.616945645826,3526.705471941015,0.0
8100.0,13.048304036613533,4491.364455961243,7478.961228977712,0.0
9000.0,13.048304036613533,3339.1772003925967,14289.666741250487,0.0
9900.0,13.048304036613533,3076.0883215617255,12826.508958797951,0.0
10800.0,12.789312106635732,2287.556342192748,2346.666180843894,0.0
11700.0,12.789312106635732,3116.3312062231025,60.9552132302334,0.0
12600.0,12.789312106635732,2749.818930098185,9047.010144710237,0.0
13500.0,12.789312106635732,2608.6015052215453,2713.424386701293,0.0
14400.0,12.805373621673114,2494.3215082115485,7918.445838928654,0.014811869003699888
15300.0,12.805373621673114,2643.783418586766,2621.9326891663845,0.014811869003699888
16200.0,12.805373621673114,2469.424794577228,6363.861355878765,0.014811869003699888
17100.0,12.805373621673114,3111.1886063576526,62.92763349918915,0.014811869003699888
18000.0,13.174788467532926,3011.765008958956,63.03419101611528,0.061222391881959534
18900.0,13.174788467532926,2933.728096714986,63.329322717882384,0.061222391881959534
19800.0,13.174788467532926,3382.113827840638,26866.8675917624,0.061222391881959534
20700.0,13.174788467532926,2574.807277534303,32660.856563689467,0.061222391881959534
21600.0,13.971841151263048,2548.522878222004,34460.874245595754,0.15404343763847883
22500.0,13.971841151263048,3366.114628259238,58579.16141828224,0.15404343763847883
23400.0,13.971841151263048,3819.2348164038754,41678.22946924475,0.15404343763847883
24300.0,13.971841151263048,7109.927330306732,20954.160459010163,0.15404343763847883
25200.0,14.966651238890949,9294.307844583529,31494.26624579973,0.264638726199438
26100.0,14.966651238890949,7021.523589762572,37127.33777313144,0.264638726199438
27000.0,14.966651238890949,13114.933030335602,17142.969240045677,0.264638726199438
27900.0,14.966651238890949,6564.077087445413,42184.31314730899,0.264638726199438
28800.0,15.832969206219792,13143.584658157391,26414.190761188373,0.32289874428065757
29700.0,15.832969206219792,19304.500925535613,21934.460220745656,0.32289874428065757
30600.0,15.832969206219792,13242.9266269868,16560.034454252287,0.32289874428065757
31500.0,15.832969206219792,12626.386043117867,13891.92528550021,0.32289874428065757
32400.0,16.30879158920226,8217.382129902897,20815.183695169646,0.33474823948361754
33300.0,16.30879158920226,9336.917957754398,18017.806729071435,0.33474823948361754
34200.0,16.30879158920226,10734.23580690949,23688.25069856137,0.33474823948361754
35100.0,16.30879158920226,9032.035251445588,16994.454015480136,0.33474823948361754
36000.0,16.437283709501326,7402.64737979091,12612.07970454087,0.3031495856090577
36900.0,16.437283709501326,10654.892837556832,17565.243413871936,0.3031495856090577
37800.0,16.437283709501326,4661.151880090381,13909.980774202098,0.3031495856090577
38700.0,16.437283709501326,6196.340382781102,15689.825660921379,0.3031495856090577
39600.0,16.36400304714327,9168.028447887482,22417.419830865394,0.28043805313671794
40500.0,16.36400304714327,8231.340615251973,9307.723530856443,0.28043805313671794
41400.0,16.36400304714327,7727.529085576473,12008.065575508981,0.28043805313671794
42300.0,16.36400304714327,9434.219212351483,18407.330203397178,0.28043805313671794
43200.0,16.136130302550395,6876.5512506984605,11086.078032716216,0.25476414686363813
44100.0,16.136130302550395,10626.322838304335,12809.221818865335,0.25476414686363813
45000.0,16.136130302550395,15351.066057544069,10880.825891681916,0.25476414686363813
45900.0,16.136130302550395,11480.239301676886,20557.435083053668,0.25476414686363813
46800.0,15.723550135027619,10135.816765423571,530.9554125797703,0.22810278265697828
47700.0,15.723550135027619,9242.636960221149,700.384208613705,0.22810278265697828
48600.0,15.723550135027619,9093.90970696957,314.1076230873867,0.22810278265697828
49500.0,15.723550135027619,7418.156807956553,17832.27316267266,0.22810278265697828
50400.0,15.040935745938851,11388.896932638185,1920.6011323672253,0.1698427645757587
51300.0,15.040935745938851,6992.30056195573,18572.896827019467,0.1698427645757587
52200.0,15.040935745938851,5413.767288970502,14805.498213362645,0.1698427645757587
53100.0,15.040935745938851,5116.312782467339,16626.897502142332,0.1698427645757587
54000.0,14.413532814791079,6535.262202485034,385.25099148078044,0.1184949520295991
54900.0,14.413532814791079,6760.230539456144,386.2603239269718,0.1184949520295991
55800.0,14.413532814791079,7021.360332623986,1351.7333487903516,0.1184949520295991
56700.0,14.413532814791079,7002.01436170158,388.02211744672337,0.1184949520295991
57600.0,13.935702742428937,11167.683509854549,2656.464605948931,0.0789966346863994
58500.0,13.935702742428937,12237.262653298823,3248.6925205108555,0.0789966346863994
59400.0,13.935702742428937,9671.186949008637,18354.421914690643,0.0789966346863994
60300.0,13.935702742428937,11842.098749352115,1052.7316175318049,0.0789966346863994
61200.0,13.369534337361193,11829.038178265257,11077.995706985024,0.0394983173431997
62100.0,13.369534337361193,10138.183993933064,11566.582718352049,0.0394983173431997
63000.0,13.369534337361193,18832.769423592206,30434.77971739013,0.0394983173431997
63900.0,13.369534337361193,16741.853621155722,26356.03628304328,0.0394983173431997
64800.0,12.644758471299285,16327.670260563782,14607.255487711807,0.008887121402219934
