t,y
0.0,6.313
36000.0,6.545
72000.0,2.607
108000.0,1.18
144000.0,-0.531
180000.0,-2.727
216000.0,2.361
252000.0,-1.933
288000.0,0.777
324000.0,3.463
360000.0,5.17
396000.0,6.334
432000.0,5.017
468000.0,5.425
504000.0,4.561
540000.0,3.732
576000.0,3.807
612000.0,4.701
648000.0,5.916
684000.0,2.643
720000.0,1.375
756000.0,0.458
792000.0,-2.26
828000.0,-0.153
864000.0,-0.418
900000.0,3.231
936000.0,4.406
972000.0,4.402
1008000.0,4.894
1044000.0,4.722
1080000.0,6.904
1116000.0,5.319
1152000.0,1.924
1188000.0,0.525
1224000.0,-0.76
1260000.0,4.177
1296000.0,4.588
1332000.0,4.889
1368000.0,3.075
1404000.0,2.686
1440000.0,1.446
1476000.0,-2.392
1512000.0,1.991
1548000.0,-2.69
1584000.0,-1.984
1620000.0,-3.325
1656000.0,-4.775
1692000.0,-1.335
1728000.0,-5.76
1764000.0,-2.439
1800000.0,-3.29
1836000.0,-6.068
1872000.0,-2.838
1908000.0,-7.175
1944000.0,-2.675
1980000.0,-7.51
1987200.0,-7.919
2016000.0,-5.902
2052000.0,-4.252
2088000.0,-5.397
2124000.0,-2.542
2160000.0,0.38
2196000.0,2.426
2232000.0,2.262
2268000.0,2.24
2304000.0,2.905
2340000.0,0.97
2376000.0,2.565
2412000.0,-0.999
2448000.0,-0.458
2484000.0,-1.904
2520000.0,-2.306
2556000.0,0.537
2592000.0,-1.431
2628000.0,2.087
2664000.0,-2.758
2700000.0,-2.986
2736000.0,-0.284
2772000.0,-1.01
2808000.0,1.352
2844000.0,-0.635
2880000.0,-0.986
2916000.0,-0.507
2952000.0,-1.862
2988000.0,2.371
3024000.0,0.988
3060000.0,2.321
3096000.0,0.193
3132000.0,-0.366
3168000.0,2.305
3204000.0,0.482
3240000.0,4.787
3276000.0,2.729
3312000.0,3.011
3348000.0,4.712
3384000.0,3.171
3420000.0,7.712
3456000.0,3.585
3492000.0,6.833
3528000.0,3.627
3564000.0,2.507
3600000.0,2.841
3636000.0,1.328
3672000.0,4.783
3708000.0,1.57
3744000.0,3.396
3780000.0,3.982
3816000.0,1.265
3852000.0,8.896
3888000.0,0.008
3924000.0,8.478
3960000.0,3.771
3996000.0,0.304
4032000.0,5.882
4068000.0,0.888
4104000.0,12.263
4140000.0,2.879
4176000.0,5.958
4212000.0,5.575
4248000.0,3.885
4284000.0,8.458
4320000.0,3.186
4356000.0,6.674
4392000.0,4.591
4428000.0,3.457
4464000.0,7.841
4500000.0,6.178
4536000.0,7.422
4572000.0,-1.123
4608000.0,0.612
4644000.0,0.779
4680000.0,-1.433
4716000.0,11.65
4752000.0,3.826
4788000.0,10.307
4824000.0,4.362
4860000.0,0.028
4896000.0,7.791
4932000.0,2.943
4968000.0,14.497
5004000.0,5.125
5040000.0,4.394
5076000.0,4.876
5112000.0,5.811
5148000.0,6.987
5184000.0,2.08
5220000.0,5.462
5256000.0,5.11
5292000.0,7.197
5328000.0,9.326
5364000.0,7.882
5400000.0,9.412
5436000.0,4.956
5472000.0,5.184
5508000.0,3.173
5544000.0,1.919
5580000.0,9.517
5616000.0,7.769
5652000.0,10.784
5688000.0,6.405
5724000.0,5.47
5760000.0,5.77
5796000.0,4.822
5832000.0,9.434
5868000.0,5.013
5904000.0,5.093
5940000.0,1.092
5976000.0,0.784
6012000.0,3.757
