time,electrical_demand[1].unscaled_power,electrical_grid.market_price,photovoltaic[1].normalized_power
0.0,41.18985404650367,0.0748252858231842,0.0
900.0,42.016674141715534,0.0748252858231842,0.0
1800.0,41.52058208458841,0.0748252858231842,0.0
2700.0,41.716951857201224,0.0748252858231842,0.0
3600.0,42.047679895285974,0.07043046299339817,0.0
4500.0,40.31135769534109,0.07043046299339817,0.0
5400.0,40.394039704862266,0.07043046299339817,0.0
6300.0,37.9962614287479,0.07043046299339817,0.0
7200.0,41.13817779055293,0.07008940135472293,0.0
8100.0,40.363033951291825,0.07008940135472293,0.0
9000.0,42.295725923849524,0.07008940135472293,0.0
9900.0,41.52058208458841,0.07008940135472293,0.0
10800.0,41.10717203698249,0.06701010198839832,0.0
11700.0,40.197669932249454,0.06701010198839832,0.0
12600.0,40.28035194177063,0.06701010198839832,0.0
13500.0,40.61107997985538,0.06701010198839832,0.0
14400.0,41.22085980007411,0.06743886519130424,0.0
15300.0,41.52058208458841,0.06743886519130424,0.0
16200.0,42.016674141715534,0.06743886519130424,0.0
17100.0,41.52058208458841,0.06743886519130424,0.0
18000.0,38.90576353348094,0.0660453847818598,0.0
18900.0,40.94180801794012,0.0660453847818598,0.0
19800.0,39.23649157156567,0.0660453847818598,0.0
20700.0,42.295725923849524,0.0660453847818598,0.0
21600.0,31.84678697060976,0.06806252075916741,0.061673115530520746
22500.0,34.9060213228936,0.06806252075916741,0.061673115530520746
23400.0,34.6889810479005,0.06806252075916741,0.061673115530520746
24300.0,43.00885825596975,0.06806252075916741,0.061673115530520746
25200.0,212.837705812484,0.07160956180138953,0.20590862765835152
26100.0,246.7683354697403,0.07160956180138953,0.20590862765835152
27000.0,252.65942864812473,0.07160956180138953,0.20590862765835152
27900.0,232.83641686542063,0.07160956180138953,0.20590862765835152
28800.0,256.46280108609926,0.0779825421354918,0.4148014383262444
29700.0,231.2241176797575,0.0779825421354918,0.4148014383262444
30600.0,226.03582158230319,0.0779825421354918,0.4148014383262444
31500.0,227.5034272513042,0.0779825421354918,0.4148014383262444
32400.0,46.305803385627,0.07878160083181654,0.5610264057937695
33300.0,41.87198062505345,0.07878160083181654,0.5610264057937695
34200.0,185.24258513478844,0.07878160083181654,0.5610264057937695
35100.0,248.5873396792064,0.07878160083181654,0.5610264057937695
36000.0,233.96295924514672,0.07786560671651742,0.6087733339464306
36900.0,175.75482454223246,0.07786560671651742,0.6087733339464306
37800.0,176.14756408745808,0.07786560671651742,0.6087733339464306
38700.0,177.119077699332,0.07786560671651742,0.6087733339464306
39600.0,175.10370371725313,0.0748642642961757,0.5540633121048397
40500.0,183.3822399205618,0.0748642642961757,0.5540633121048397
41400.0,178.53500711238232,0.0748642642961757,0.5540633121048397
42300.0,192.53927247503302,0.0748642642961757,0.5540633121048397
43200.0,51.84549802354641,0.07807998831797049,0.45260108978043456
44100.0,42.471425194082045,0.07807998831797049,0.45260108978043456
45000.0,39.1124685572839,0.07807998831797049,0.45260108978043456
45900.0,41.003819525081006,0.07807998831797049,0.45260108978043456
46800.0,94.46807393171734,0.07582898150271411,0.30737084998275666
47700.0,230.46964434287673,0.07582898150271411,0.30737084998275666
48600.0,260.48321379906685,0.07582898150271411,0.30737084998275666
49500.0,267.2011270726632,0.07582898150271411,0.30737084998275666
50400.0,239.73002940924945,0.07872313312232947,0.1014622223244051
51300.0,263.1807143596956,0.07872313312232947,0.1014622223244051
52200.0,266.2399487119794,0.07872313312232947,0.1014622223244051
53100.0,224.1754763680765,0.07872313312232947,0.1014622223244051
54000.0,261.3100338942788,0.0857782367337821,0.0
54900.0,224.85760294662626,0.0857782367337821,0.0
55800.0,187.73338067161416,0.0857782367337821,0.0
56700.0,204.04240704966793,0.0857782367337821,0.0
57600.0,186.81354331569096,0.10256821397484997,0.0
58500.0,195.81554710230995,0.10256821397484997,0.0
59400.0,74.97579018709794,0.10256821397484997,0.0
60300.0,43.42226830357568,0.10256821397484997,0.0
61200.0,37.12810032877546,0.13723956570074608,0.0
62100.0,37.458828366860196,0.13723956570074608,0.0
63000.0,38.26497795969175,0.13723956570074608,0.0
63900.0,33.665791180075836,0.13723956570074608,0.0
64800.0,29.697054723058944,0.13611893460224192,0.0
65700.0,31.133654638489535,0.13611893460224192,0.0
66600.0,32.1775150086945,0.13611893460224192,0.0
67500.0,32.921653094385164,0.13611893460224192,0.0
68400.0,32.12583875274376,0.12436692499531928,0.0
69300.0,31.216336648010717,0.12436692499531928,0.0
70200.0,30.55488057184124,0.12436692499531928,0.0
71100.0,31.795110714659014,0.12436692499531928,0.0
72000.0,31.433376923003827,0.12406484182963542,0.0
72900.0,31.18533089444028,0.12406484182963542,0.0
73800.0,30.637562581362427,0.12406484182963542,0.0
74700.0,31.54706468609546,0.12406484182963542,0.0
75600.0,38.957439789431675,0.12197949352459284,0.0
76500.0,38.7920757703893,0.12197949352459284,0.0
77400.0,39.86694189416471,0.12197949352459284,0.0
78300.0,40.52839797033418,0.12197949352459284,0.0
79200.0,40.445715960813004,0.12731954432442172,0.0
80100.0,39.153809562044486,0.12731954432442172,0.0
81000.0,41.46890582863767,0.12731954432442172,0.0
81900.0,40.363033951291825,0.12731954432442172,0.0
82800.0,40.363033951291825,0.12176511192313977,0.0
83700.0,39.48453760012923,0.12176511192313977,0.0
84600.0,37.79989165613509,0.12176511192313977,0.0
85500.0,39.53621385607997,0.12176511192313977,0.0
86400.0,32.704612819392054,0.10162298600480725,0.0
87300.0,31.929468980130938,0.10162298600480725,0.0
88200.0,33.50042716103346,0.10162298600480725,0.0
