t,y
0.0,40.69
900.0,37.52
8100.0,36.88
9900.0,43.52
10800.0,46.0
18900.0,36.85
19800.0,36.21
21600.0,30.56
23400.0,30.05
24300.0,29.44
27900.0,29.17
28800.0,27.44
29700.0,27.36
31500.0,26.63
36000.0,26.56
72000.0,31.2
108000.0,29.09
125100.0,23.47
126000.0,19.13
144000.0,31.3
180000.0,36.24
216000.0,27.09
252000.0,37.89
288000.0,24.88
324000.0,32.24
360000.0,27.41
396000.0,31.91
432000.0,40.21
468000.0,28.0
504000.0,29.76
540000.0,18.77
543600.0,97.17
544500.0,215.25
546300.0,220.85
547200.0,236.53
548100.0,251.49
549000.0,271.85
576000.0,189.2
612000.0,32.88
648000.0,106.27
684000.0,35.65
720000.0,252.69
756000.0,26.72
792000.0,21.17
799200.0,16.64
813600.0,275.2
828000.0,242.16
864000.0,30.93
900000.0,175.8
936000.0,31.41
972000.0,30.13
1008000.0,31.52
1044000.0,35.6
1080000.0,38.31
1116000.0,38.64
1152000.0,201.28
1188000.0,26.29
1224000.0,37.28
1260000.0,253.74
1296000.0,37.36
1332000.0,237.52
1368000.0,30.77
1404000.0,28.45
1440000.0,188.02
1476000.0,34.29
1512000.0,32.75
1548000.0,40.48
1584000.0,22.56
1620000.0,28.32
1656000.0,36.77
1692000.0,206.28
1728000.0,37.17
1764000.0,224.28
1800000.0,33.41
1836000.0,32.21
1872000.0,71.92
1908000.0,32.96
1931400.0,280.41
1944000.0,43.64
1980000.0,38.0
2016000.0,248.64
2052000.0,35.33
2088000.0,38.4
2124000.0,33.85
2160000.0,41.92
2196000.0,32.8
2232000.0,32.05
2268000.0,30.64
2304000.0,205.7
2340000.0,35.01
2376000.0,58.74
2412000.0,39.89
2448000.0,254.13
2472300.0,280.79
2484000.0,33.81
2520000.0,48.32
2556000.0,243.4
2592000.0,42.16
2628000.0,256.36
2664000.0,32.8
2700000.0,34.64
2708100.0,16.12
2718000.0,15.69
2722500.0,14.57
2723400.0,14.46
2724300.0,13.4
2725200.0,13.35
2736000.0,30.74
2772000.0,38.16
2808000.0,31.42
2844000.0,40.32
2880000.0,244.66
