time,ambient_temperature,irradiance_diffuse,heat_demand[1].unscaled_power,cold_demand[1].unscaled_power,electrical_demand[1].unscaled_power,irradiance_direct,photovoltaic[1].normalized_power
0,8.999686308930453,0.0,13.30425359582839,0.3,1.201603567803382,0.0,0.0
3600,8.207945728217815,0.0,15.427205623334805,0.3,1.3019242813640586,0.0,0.0
7200,7.460696316791712,0.0,14.558725248445818,0.3,1.1012828542427056,0.0,0.0
10800,6.840853435595224,0.0,16.295685998223792,0.3,1.201603567803382,0.0,0.0
14400,6.37470732102495,0.004069069992000538,18.418638025730203,0.3,1.201603567803382,0.0,0.0
18000,7.814603345207318,0.05493244489200726,22.085555164150374,0.3,1.5025657084854112,0.01734871658554346,0.05403900714989469
21600,9.458754282932416,0.10884762228601437,27.585930871780626,0.3,2.3051314169708226,0.107153837734239,0.18862672307038708
25200,11.543772261769528,0.12105483226201598,23.243528997335687,0.3,3.0073764118955575,0.33268715334630405,0.399684732127523
28800,13.264771582807727,0.1332620422380176,20.348594414372396,0.3,3.408659266138263,0.49903073001945597,0.5424292793159239
32400,14.575238750883821,0.13122750724201732,15.909694720495352,0.3,3.107697125456234,0.6714973831345645,0.6668209561515306
36000,15.451917018416207,0.12410663475601638,14.84821870674215,0.3,3.3083385525775872,0.7929383992333687,0.7443108531966626
39600,16.01917942681951,0.12105483226201598,13.88324051242105,0.3,3.408659266138263,0.8133486540398904,0.7545068922815483
43200,16.27803713903207,0.12308936725801624,13.30425359582839,0.3,3.7096214068202924,0.7337486602944556,0.6994482812231652
46800,16.323539471256932,0.12003756476401586,12.725266679235734,0.3,3.6093006932596166,0.5980204658310864,0.600546702099773
50400,16.17590968226071,0.11902029726601573,12.242777582075187,0.3,3.2080178390169105,0.3979999687271735,0.4425080962840432
54000,15.86649382313163,0.10884762228601437,13.014760137532063,0.3,3.107697125456234,0.18573331873934762,0.2538813732136561
57600,15.070708590665674,0.07120872486000941,14.84821870674215,0.3,3.3083385525775872,0.03571794591141301,0.08258791658757489
61200,12.938165953727033,0.010172674980001344,18.322140206298098,0.3,3.408659266138263,0.0,0.0020392078169771577
64800,11.041224281419364,0.0,23.340026816767796,0.3,4.512187115305704,0.0,0.0
68400,10.039161809534018,0.0,25.848970122002648,0.3,5.013790683109086,0.0,0.0
72000,9.545714295628825,0.0,24.401502830521004,0.3,4.411866401745027,0.0,0.0
75600,9.238320762376404,0.0,24.30500501108889,0.3,4.1109042610629976,0.0,0.0
79200,9.045188641155317,0.0,17.06766855368067,0.3,3.7096214068202924,0.0,0.0
82800,8.702404405061339,0.0,14.75172088731004,0.3,2.7064142712135286,0.0,0.0
86400,20.685696387213923,0.0,3.1719825554568777,5.556402966698984,1.1012828542427056,0.0,0.0
90000,19.880810688302986,0.0,2.7859912777284386,4.290972622864043,1.0009621406820293,0.0,0.0
93600,19.157829187396814,0.0,2.4,3.0255422790291027,0.900641427121353,0.0,0.0
97200,18.56225421672025,0.012207209976001611,2.4,2.1494751179126057,0.8003207135606762,0.0,0.0030588117254657364
100800,19.120416158678594,0.06001878238200793,2.689493458296329,2.441497504951439,0.900641427121353,0.0,0.039764552431054576
104400,21.241836003295596,0.08239866733801089,3.654471652617426,4.290972622864043,1.201603567803382,0.1020512740326086,0.1498817745478211
108000,23.606946116050207,0.09358860981601237,5.970419318988058,6.432470127815482,1.8035278491674405,0.2949281819542388,0.3242340428993681
111600,25.323900785335084,0.10274401729801357,6.066917138420166,8.184604450048479,2.5057728440921756,0.49698970453880387,0.4873706682575407
115200,26.644479582794478,0.11088215728201466,5.58442804125962,10.131420363640693,2.8067349847742045,0.6725178958748906,0.6158407607271016
118800,27.840685338839243,0.11698576227001545,5.198436763531181,13.635689008106683,2.907055698334881,0.8000819884156514,0.6994482812231652
122400,28.82353571489631,0.12207209976001614,4.6194498469385215,14.609096964902792,2.7064142712135286,0.868456342017499,0.7412520414711967
126000,29.462590691921072,0.12817570474801693,4.522952027506412,16.75059446985423,2.907055698334881,0.8551896763932598,0.7351344180202654
129600,29.70425863418202,0.136313844732018,4.329956388642194,17.821343222329947,3.0073764118955575,0.7653845552445644,0.6831346186873478
133200,29.656733976080496,0.13733111223001815,4.136960749777974,17.529320835291117,2.907055698334881,0.6357794372231517,0.5985074942827958
136800,29.27046973363831,0.13224477474001747,4.136960749777974,18.69741038344645,2.8067349847742045,0.4714768860306517,0.48125304480660924
140400,28.683995229406726,0.12512390225401654,3.943965110913755,16.458572082815397,2.5057728440921756,0.2888051055122823,0.33646928980123103
144000,27.905399766892383,0.11393395977601506,4.136960749777974,16.06920890009695,2.606093557652852,0.10613332499391293,0.17537187226003553
147600,26.885136362117095,0.07629506235001009,4.715947666370632,15.290482534660066,2.8067349847742045,0.0071435891822826,0.05913702669233758
151200,24.887078395976385,0.02136261745800282,5.101938944099071,13.927711395145517,3.5089799796989394,0.0,0.00917643517639721
154800,23.17416837844483,0.0,5.873921499555948,11.786213890194077,3.8099421203809687,0.0,0.0
158400,22.369282679533896,0.0,6.259912777284387,11.20216911611641,3.910262833941645,0.0,0.0
162000,21.65641280801103,0.0,5.970419318988058,8.76864922412614,3.5089799796989394,0.0,0.0
165600,21.23576902566562,0.0,4.329956388642194,7.113855697572758,2.907055698334881,0.0,0.0
169200,21.138697383585907,0.0,3.5579738331853163,6.237788536456261,2.3051314169708226,0.0,0.0
172800,12.975578982445258,0.0,8.479362624222908,0.9813855697572758,1.201603567803382,0.0,0.0
176400,12.241474689217446,0.0,8.67235826308713,0.7867039783980542,1.0009621406820293,0.0,0.0
